employee_id,is_selected,shap_values
EMP0345,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0056,TRUE,"Average_Vibe_Score(0.0323), Total_Reward_Points(0.0290), Days_since_joining(0.0245), Days_since_last_reward(0.0242), Days_since_last_leave(0.0152), Latest_Promotion_Consideration(0.0143), Average_Work_Hours(0.0101), Average_Team_Messages_Sent(0.0086), Average_Manager_Feedback_Score(0.0067), Average_Performance_Rating(0.0061)"
EMP0493,TRUE,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0397,TRUE,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0122,TRUE,"Average_Team_Messages_Sent(0.0407), Latest_Vibe_Score(0.0228), Average_Vibe_Score(0.0208), Total_Reward_Points(0.0125), Average_Performance_Rating(0.0098), Average_Emails_Sent(0.0084), Onboarding_Feedback(0.0082), Days_since_last_reward(0.0069), Latest_Work_Hours(0.0065), Average_Reward_Points(0.0054)"
EMP0323,TRUE,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0303,TRUE,"Days_since_last_reward(0.0450), Onboarding_Feedback(0.0332), Promotion_Consideration_Ratio(0.0327), Unpaid_Leaves(0.0264), Casual_Leaves(0.0161), Latest_Promotion_Consideration(0.0102), Average_Emails_Sent(0.0096), Days_since_joining(0.0093), Latest_Work_Hours(0.0061), Average_Team_Messages_Sent(0.0057)"
EMP0452,TRUE,"Latest_Vibe_Score(0.1156), Average_Vibe_Score(0.0598), Average_Performance_Rating(0.0444), Latest_Performance_Rating(0.0383), Latest_Promotion_Consideration(0.0079), Promotion_Consideration_Ratio(0.0070), Average_Reward_Points(0.0049), Days_since_last_reward(0.0043), Days_since_joining(0.0043), Days_since_last_leave(0.0042)"
EMP0179,TRUE,"Latest_Vibe_Score(0.1120), Average_Vibe_Score(0.0239), Average_Team_Messages_Sent(0.0214), Latest_Promotion_Consideration(0.0123), Latest_Work_Hours(0.0105), Average_Reward_Points(0.0092), Days_since_last_activity(0.0070), Total_Reward_Points(0.0056), Days_since_last_reward(0.0052), Average_Work_Hours(0.0051)"
EMP0360,TRUE,"Latest_Vibe_Score(0.1156), Average_Vibe_Score(0.0598), Average_Performance_Rating(0.0444), Latest_Performance_Rating(0.0383), Latest_Promotion_Consideration(0.0079), Promotion_Consideration_Ratio(0.0070), Average_Reward_Points(0.0049), Days_since_last_reward(0.0043), Days_since_joining(0.0043), Days_since_last_leave(0.0042)"
EMP0269,TRUE,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0472,TRUE,"Latest_Vibe_Score(0.0428), Average_Vibe_Score(0.0300), Average_Emails_Sent(0.0247), Average_Work_Hours(0.0179), Latest_Performance_Rating(0.0140), Annual_Leaves(0.0129), Latest_Promotion_Consideration(0.0122), Onboarding_Feedback(0.0080), Days_since_joining(0.0080), Initial_Training_Completed(0.0069)"
EMP0220,TRUE,"Latest_Vibe_Score(0.1156), Average_Vibe_Score(0.0598), Average_Performance_Rating(0.0444), Latest_Performance_Rating(0.0383), Latest_Promotion_Consideration(0.0079), Promotion_Consideration_Ratio(0.0070), Average_Reward_Points(0.0049), Days_since_last_reward(0.0043), Days_since_joining(0.0043), Days_since_last_leave(0.0042)"
EMP0251,TRUE,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0495,TRUE,"Days_since_last_reward(0.0450), Onboarding_Feedback(0.0332), Promotion_Consideration_Ratio(0.0327), Unpaid_Leaves(0.0264), Casual_Leaves(0.0161), Latest_Promotion_Consideration(0.0102), Average_Emails_Sent(0.0096), Days_since_joining(0.0093), Latest_Work_Hours(0.0061), Average_Team_Messages_Sent(0.0057)"
EMP0073,TRUE,"Latest_Vibe_Score(0.0530), Days_since_last_reward(0.0482), Average_Vibe_Score(0.0368), Latest_Work_Hours(0.0144), Days_since_last_activity(0.0129), Average_Emails_Sent(0.0128), Sick_Leaves(0.0085), Days_since_last_leave(0.0083), Onboarding_Feedback(0.0066), Initial_Training_Completed(0.0038)"
EMP0347,TRUE,"Latest_Vibe_Score(0.0428), Average_Vibe_Score(0.0300), Average_Emails_Sent(0.0247), Average_Work_Hours(0.0179), Latest_Performance_Rating(0.0140), Annual_Leaves(0.0129), Latest_Promotion_Consideration(0.0122), Onboarding_Feedback(0.0080), Days_since_joining(0.0080), Initial_Training_Completed(0.0069)"
EMP0115,TRUE,"Latest_Vibe_Score(0.1120), Average_Vibe_Score(0.0239), Average_Team_Messages_Sent(0.0214), Latest_Promotion_Consideration(0.0123), Latest_Work_Hours(0.0105), Average_Reward_Points(0.0092), Days_since_last_activity(0.0070), Total_Reward_Points(0.0056), Days_since_last_reward(0.0052), Average_Work_Hours(0.0051)"
EMP0232,TRUE,"Latest_Vibe_Score(0.1156), Average_Vibe_Score(0.0598), Average_Performance_Rating(0.0444), Latest_Performance_Rating(0.0383), Latest_Promotion_Consideration(0.0079), Promotion_Consideration_Ratio(0.0070), Average_Reward_Points(0.0049), Days_since_last_reward(0.0043), Days_since_joining(0.0043), Days_since_last_leave(0.0042)"
EMP0089,TRUE,"Days_since_last_reward(0.0450), Onboarding_Feedback(0.0332), Promotion_Consideration_Ratio(0.0327), Unpaid_Leaves(0.0264), Casual_Leaves(0.0161), Latest_Promotion_Consideration(0.0102), Average_Emails_Sent(0.0096), Days_since_joining(0.0093), Latest_Work_Hours(0.0061), Average_Team_Messages_Sent(0.0057)"
EMP0217,TRUE,"Days_since_last_reward(0.0450), Onboarding_Feedback(0.0332), Promotion_Consideration_Ratio(0.0327), Unpaid_Leaves(0.0264), Casual_Leaves(0.0161), Latest_Promotion_Consideration(0.0102), Average_Emails_Sent(0.0096), Days_since_joining(0.0093), Latest_Work_Hours(0.0061), Average_Team_Messages_Sent(0.0057)"
